bay,year,date,water_depth_m,sub_depth_m,water_temp,salinty,substrate,grass_cover,shoot_length,seaweed_percent,mussels_pres,gastropods_pres,seastar_pres,caprellidshrimp_pres,telemessus_crab_pres,sponge_pres,Comments
Izembek,2007,7/30/2007,1.17, ,11.9,29.4,cobble,0,, , , , , , , ,
Izembek,2007,7/30/2007,1.17, ,11.9,29.4,cobble,0,, , , , , , , ,
Izembek,2007,7/30/2007,1.17, ,11.9,29.4,cobble,0,, , , , , , , ,
Izembek,2007,7/30/2007,1.17, ,11.9,29.4,cobble,0,, , , , , , , ,
Izembek,2007,8/11/2007,0.56, ,15.2,28.9,cobble,0,, , , , , ,0, ,
Kinzarof,2008,8/9/2008,0.83,0,10.2,31.7,cobble,0,,55,0,0,0, ,0,0,EELGRASS IN AREA.
Kinzarof,2008,8/9/2008,0.83,0,10.2,31.7,cobble,0,,25,0,0,0, ,0,0,EELGRASS IN AREA.
Kinzarof,2008,8/9/2008,0.83,0,10.2,31.7,cobble,0,,35,0,0,0, ,0,0,EELGRASS IN AREA.
Kinzarof,2008,8/9/2008,0.83,0,10.2,31.7,cobble,0,,15,0,0,0, ,0,0,EELGRASS IN AREA.
Kinzarof,2008,8/9/2008,0.24,0,14.5,31.8,cobble,0,,40,0,0,0, ,0,0,TEMP/SALINITY TAKEN 160M FROM PT.
Kinzarof,2008,8/9/2008,0.24,0,14.5,31.8,cobble,0,,35,0,0,0, ,0,0,TEMP/SALINITY TAKEN 160M FROM PT.
Kinzarof,2008,8/9/2008,0.24,0,14.5,31.8,cobble,0,,20,0,0,0, ,0,0,TEMP/SALINITY TAKEN 160M FROM PT.
Kinzarof,2008,8/9/2008,0.24,0,14.5,31.8,cobble,0,,35,0,0,0, ,0,0,TEMP/SALINITY TAKEN 160M FROM PT.
Kinzarof,2008,8/9/2008,0.27,0,14.7,31.7,cobble,0,,15,0,0,0, ,0,0,24M NORTH OF BEACH RYE GRASS LINE ON BARRIER ISLAND.
Kinzarof,2008,8/9/2008,0.27,0,14.7,31.7,cobble,0,,10,0,0,0, ,0,0,24M NORTH OF BEACH RYE GRASS LINE ON BARRIER ISLAND.
Kinzarof,2008,8/9/2008,0.27,0,14.7,31.7,cobble,0,,5,0,0,0, ,0,0,24M NORTH OF BEACH RYE GRASS LINE ON BARRIER ISLAND.
Kinzarof,2008,8/9/2008,0.27,0,14.7,31.7,cobble,0,,5,0,0,0, ,0,0,24M NORTH OF BEACH RYE GRASS LINE ON BARRIER ISLAND.
Kinzarof,2008,8/9/2008,0, , , ,cobble,0,,0,0,0,0, ,0,0,"POINT ON SAND BAR 20M FROM WATER LINE, 40M NORTH OF EHYMUS L"
Kinzarof,2008,8/9/2008,0, , , ,cobble,0,,0,0,0,0, ,0,0,"POINT ON SAND BAR 20M FROM WATER LINE, 40M NORTH OF EHYMUS L"
Kinzarof,2008,8/9/2008,0, , , ,cobble,0,,0,0,0,0, ,0,0,"POINT ON SAND BAR 20M FROM WATER LINE, 40M NORTH OF EHYMUS L"
Kinzarof,2008,8/9/2008,0, , , ,cobble,0,,0,0,0,0, ,0,0,"POINT ON SAND BAR 20M FROM WATER LINE, 40M NORTH OF EHYMUS L"
Kinzarof,2008,8/8/2008,1.4,0,10.3,30.2,cobble,0,,100,0,0,0, ,0,0,NO EELGRASS PRESENT.
Kinzarof,2008,8/8/2008,1.4,0,10.3,30.2,cobble,0,,100,0,0,0, ,0,0,NO EELGRASS PRESENT.
Kinzarof,2008,8/8/2008,1.4,0,10.3,30.2,cobble,0,,100,0,0,0, ,0,0,NO EELGRASS PRESENT.
Kinzarof,2008,8/8/2008,1.4,0,10.3,30.2,cobble,0,,100,0,0,0, ,0,0,NO EELGRASS PRESENT.
Kinzarof,2008,8/8/2008,0.75,0,12.3,31.6,cobble,0,,100,0,0,0, ,0,0,BROKEN SHELLS IN ALL.
Kinzarof,2008,8/8/2008,0.75,0,12.3,31.6,cobble,0,,100,0,0,0, ,0,1,BROKEN SHELLS IN ALL.
Kinzarof,2008,8/8/2008,0.75,0,12.3,31.6,cobble,0,,100,0,0,0, ,1,1,BROKEN SHELLS IN ALL.
Kinzarof,2008,8/8/2008,0.75,0,12.3,31.6,cobble,0,,100,0,0,0, ,1,0,BROKEN SHELLS IN ALL.
Kinzarof,2008,8/8/2008,1.4,0,11.1,30.2,cobble,0,,70,0,0,0, ,0,0,"RE-VISITED LOOKING FOR ROTOLITHS, NONE FOUND AT POINT."
Kinzarof,2008,8/8/2008,1.4,0,11.1,30.2,cobble,0,,80,0,0,0, ,0,0,"RE-VISITED LOOKING FOR ROTOLITHS, NONE FOUND AT POINT."
Kinzarof,2008,8/8/2008,1.4,0,11.1,30.2,cobble,0,,90,0,0,0, ,0,0,"RE-VISITED LOOKING FOR ROTOLITHS, NONE FOUND AT POINT."
Kinzarof,2008,8/8/2008,1.4,0,11.1,30.2,cobble,0,,80,0,0,0, ,0,0,"RE-VISITED LOOKING FOR ROTOLITHS, NONE FOUND AT POINT."
